Anon Student Id	Problem Name	Step Name	First Transaction Time	First Attempt	KC (Topics)	Opportunity (Topics)	KC (Skills)	Opportunity (Skills)
Stu_01	Decimals-P1	step-2	2024-03-01 09:53:41	incorrect	decimals	5	decimals-b	1
Stu_01	Decimals-P3	step-2	2024-03-01 09:54:13	correct	decimals	6	decimals-c	2
Stu_01	Percents-P3	step-1	2024-03-01 09:57:44	correct	percents	4	percents-b	2
Stu_01	Fractions-P3	step-2	2024-03-01 09:58:39	incorrect	fractions	6	fractions-c	2
Stu_01	Fractions-P1	step-2	2024-03-01 10:02:07	correct	fractions	7	fractions-b	3
Stu_01	Ratios-P3	step-2	2024-03-01 10:04:47	incorrect	ratios	8	ratios-c	3
Stu_01	Fractions-P5	step-2	2024-03-01 10:09:32	incorrect	fractions	8	fractions-a	3
Stu_01	Percents-P3	step-2	2024-03-01 10:11:17	correct	percents	5	percents-c	2
Stu_01	Decimals-P3	step-1	2024-03-01 10:12:26	correct	decimals	7	decimals-b	2
Stu_01	Percents-P5	step-1	2024-03-01 10:14:02	incorrect	percents	6	percents-c	3
Stu_01	Ratios-P2	step-2	2024-03-01 10:17:01	correct	ratios	9	ratios-a	4
Stu_01	Ratios-P4	step-2	2024-03-01 10:21:52	incorrect	ratios	10	ratios-b	3
Stu_01	Fractions-P2	step-2	2024-03-01 10:25:15	correct	fractions	9	fractions-a	4
Stu_01	Fractions-P5	step-1	2024-03-01 10:30:10	correct	fractions	10	fractions-c	3
Stu_01	Percents-P2	step-2	2024-03-01 10:32:30	correct	percents	7	percents-a	2
Stu_01	Decimals-P2	step-2	2024-03-01 10:37:21	correct	decimals	8	decimals-a	4
Stu_01	Percents-P5	step-2	2024-03-01 10:41:47	correct	percents	8	percents-a	3
Stu_01	Percents-P1	step-1	2024-03-01 10:44:25	correct	percents	9	percents-a	4
Stu_01	Decimals-P4	step-2	2024-03-01 10:46:21	incorrect	decimals	9	decimals-b	3
Stu_01	Decimals-P5	step-1	2024-03-01 10:50:05	correct	decimals	10	decimals-c	3
Stu_01	Percents-P1	step-2	2024-03-01 10:52:15	correct	percents	10	percents-b	3
Stu_02	Fractions-P1	step-1	2024-03-02 09:01:23	correct	fractions	1	fractions-a	1
Stu_02	Fractions-P3	step-2	2024-03-02 09:03:39	correct	fractions	2	fractions-c	1
Stu_02	Percents-P1	step-2	2024-03-02 09:05:42	incorrect	percents	1	percents-b	1
Stu_02	Decimals-P5	step-2	2024-03-02 09:10:38	incorrect	decimals	1	decimals-a	1
Stu_02	Decimals-P2	step-1	2024-03-02 09:12:39	correct	decimals	2	decimals-c	1
Stu_02	Fractions-P4	step-2	2024-03-02 09:14:08	incorrect	fractions	3	fractions-b	1
Stu_02	Percents-P3	step-1	2024-03-02 09:16:38	incorrect	percents	2	percents-b	2
Stu_02	Ratios-P5	step-2	2024-03-02 09:21:24	incorrect	ratios	1	ratios-a	1
Stu_02	Decimals-P1	step-2	2024-03-02 09:24:14	incorrect	decimals	3	decimals-b	1
Stu_02	Ratios-P4	step-2	2024-03-02 09:27:19	incorrect	ratios	2	ratios-b	1
Stu_02	Decimals-P5	step-1	2024-03-02 09:30:25	correct	decimals	4	decimals-c	2
Stu_02	Percents-P2	step-1	2024-03-02 09:32:36	incorrect	percents	3	percents-c	1
Stu_02	Percents-P2	step-2	2024-03-02 09:34:57	incorrect	percents	4	percents-a	1
Stu_02	Ratios-P2	step-1	2024-03-02 09:36:33	correct	ratios	3	ratios-c	1
Stu_02	Fractions-P2	step-1	2024-03-02 09:38:59	correct	fractions	4	fractions-c	2
Stu_02	Percents-P5	step-1	2024-03-02 09:42:50	incorrect	percents	5	percents-c	2
Stu_02	Decimals-P3	step-2	2024-03-02 09:44:27	incorrect	decimals	5	decimals-c	3
Stu_02	Fractions-P2	step-2	2024-03-02 09:46:20	correct	fractions	5	fractions-a	2
Stu_02	Percents-P5	step-2	2024-03-02 09:50:03	correct	percents	6	percents-a	2
Stu_02	Decimals-P1	step-1	2024-03-02 09:51:53	incorrect	decimals	6	decimals-a	2
Stu_02	Ratios-P5	step-1	2024-03-02 09:53:52	correct	ratios	4	ratios-c	2
Stu_02	Decimals-P3	step-1	2024-03-02 09:55:07	correct	decimals	7	decimals-b	2
Stu_02	Percents-P4	step-2	2024-03-02 09:55:50	correct	percents	7	percents-b	3
Stu_02	Ratios-P1	step-1	2024-03-02 09:59:59	incorrect	ratios	5	ratios-a	2
Stu_02	Decimals-P2	step-2	2024-03-02 10:04:15	correct	decimals	8	decimals-a	3
Stu_02	Fractions-P5	step-1	2024-03-02 10:08:50	correct	fractions	6	fractions-c	3
Stu_02	Fractions-P4	step-1	2024-03-02 10:11:29	correct	fractions	7	fractions-a	3
Stu_02	Decimals-P4	step-1	2024-03-02 10:13:40	correct	decimals	9	decimals-a	4
Stu_02	Fractions-P3	step-1	2024-03-02 10:15:32	incorrect	fractions	8	fractions-b	2
Stu_02	Ratios-P1	step-2	2024-03-02 10:17:05	correct	ratios	6	ratios-b	2
Stu_02	Fractions-P1	step-2	2024-03-02 10:20:24	correct	fractions	9	fractions-b	3
Stu_02	Percents-P1	step-1	2024-03-02 10:24:12	correct	percents	8	percents-a	3
Stu_02	Percents-P3	step-2	2024-03-02 10:24:58	correct	percents	9	percents-c	3
Stu_02	Decimals-P4	step-2	2024-03-02 10:28:36	correct	decimals	10	decimals-b	3
Stu_02	Percents-P4	step-1	2024-03-02 10:32:46	correct	percents	10	percents-a	4
Stu_02	Ratios-P3	step-1	2024-03-02 10:37:23	correct	ratios	7	ratios-b	3
Stu_02	Fractions-P5	step-2	2024-03-02 10:41:59	correct	fractions	10	fractions-a	4
Stu_02	Ratios-P3	step-2	2024-03-02 10:46:29	incorrect	ratios	8	ratios-c	3
Stu_02	Ratios-P2	step-2	2024-03-02 10:49:20	incorrect	ratios	9	ratios-a	3
Stu_02	Ratios-P4	step-1	2024-03-02 10:50:35	correct	ratios	10	ratios-a	4
Stu_03	Decimals-P2	step-1	2024-03-03 09:04:13	correct	decimals	1	decimals-c	1
Stu_03	Decimals-P1	step-2	2024-03-03 09:08:10	incorrect	decimals	2	decimals-b	1
Stu_03	Fractions-P1	step-1	2024-03-03 09:11:17	correct	fractions	1	fractions-a	1
Stu_03	Percents-P3	step-1	2024-03-03 09:14:21	incorrect	percents	1	percents-b	1
Stu_03	Fractions-P3	step-2	2024-03-03 09:18:25	incorrect	fractions	2	fractions-c	1
Stu_03	Percents-P3	step-2	2024-03-03 09:19:20	incorrect	percents	2	percents-c	1
Stu_03	Ratios-P2	step-2	2024-03-03 09:23:56	incorrect	ratios	1	ratios-a	1
Stu_03	Ratios-P4	step-1	2024-03-03 09:28:08	incorrect	ratios	2	ratios-a	2
Stu_03	Percents-P5	step-1	2024-03-03 09:29:00	correct	percents	3	percents-c	2
Stu_03	Percents-P4	step-2	2024-03-03 09:32:44	incorrect	percents	4	percents-b	2
Stu_03	Fractions-P3	step-1	2024-03-03 09:33:51	incorrect	fractions	3	fractions-b	1
Stu_03	Ratios-P4	step-2	2024-03-03 09:35:04	correct	ratios	3	ratios-b	1
Stu_03	Decimals-P4	step-2	2024-03-03 09:38:32	incorrect	decimals	3	decimals-b	2
Stu_03	Ratios-P1	step-2	2024-03-03 09:39:59	incorrect	ratios	4	ratios-b	2
Stu_03	Percents-P5	step-2	2024-03-03 09:44:30	incorrect	percents	5	percents-a	1
Stu_03	Decimals-P5	step-1	2024-03-03 09:46:42	correct	decimals	4	decimals-c	2
Stu_03	Fractions-P5	step-2	2024-03-03 09:51:40	correct	fractions	4	fractions-a	2
Stu_03	Ratios-P5	step-1	2024-03-03 09:55:07	correct	ratios	5	ratios-c	1
Stu_03	Fractions-P2	step-1	2024-03-03 09:59:24	correct	fractions	5	fractions-c	2
Stu_03	Ratios-P3	step-2	2024-03-03 10:00:30	incorrect	ratios	6	ratios-c	2
Stu_03	Ratios-P5	step-2	2024-03-03 10:03:21	incorrect	ratios	7	ratios-a	3
Stu_03	Ratios-P1	step-1	2024-03-03 10:05:32	correct	ratios	8	ratios-a	4
Stu_03	Percents-P2	step-2	2024-03-03 10:07:21	correct	percents	6	percents-a	2
Stu_03	Decimals-P3	step-1	2024-03-03 10:08:49	correct	decimals	5	decimals-b	3
Stu_03	Decimals-P4	step-1	2024-03-03 10:13:09	correct	decimals	6	decimals-a	1
Stu_03	Decimals-P5	step-2	2024-03-03 10:15:42	correct	decimals	7	decimals-a	2
Stu_03	Percents-P1	step-1	2024-03-03 10:19:40	incorrect	percents	7	percents-a	3
Stu_03	Fractions-P4	step-2	2024-03-03 10:22:46	correct	fractions	6	fractions-b	2
Stu_03	Fractions-P2	step-2	2024-03-03 10:24:09	correct	fractions	7	fractions-a	3
Stu_03	Percents-P4	step-1	2024-03-03 10:28:05	correct	percents	8	percents-a	4
Stu_03	Percents-P1	step-2	2024-03-03 10:32:23	correct	percents	9	percents-b	3
Stu_03	Fractions-P1	step-2	2024-03-03 10:33:28	correct	fractions	8	fractions-b	3
Stu_03	Ratios-P3	step-1	2024-03-03 10:37:15	incorrect	ratios	9	ratios-b	3
Stu_03	Fractions-P5	step-1	2024-03-03 10:38:57	correct	fractions	9	fractions-c	3
Stu_03	Percents-P2	step-1	2024-03-03 10:41:38	incorrect	percents	10	percents-c	3
Stu_03	Ratios-P2	step-1	2024-03-03 10:44:55	correct	ratios	10	ratios-c	3
Stu_03	Fractions-P4	step-1	2024-03-03 10:46:13	correct	fractions	10	fractions-a	4
Stu_03	Decimals-P2	step-2	2024-03-03 10:50:41	correct	decimals	8	decimals-a	3
Stu_03	Decimals-P1	step-1	2024-03-03 10:53:13	incorrect	decimals	9	decimals-a	4
Stu_03	Decimals-P3	step-2	2024-03-03 10:54:09	incorrect	decimals	10	decimals-c	3
Stu_04	Percents-P5	step-2	2024-03-04 09:03:44	incorrect	percents	1	percents-a	1
Stu_04	Ratios-P5	step-2	2024-03-04 09:05:45	incorrect	ratios	1	ratios-a	1
Stu_04	Ratios-P4	step-2	2024-03-04 09:08:08	correct	ratios	2	ratios-b	1
Stu_04	Percents-P4	step-2	2024-03-04 09:10:34	incorrect	percents	2	percents-b	1
Stu_04	Fractions-P1	step-2	2024-03-04 09:13:30	correct	fractions	1	fractions-b	1
Stu_04	Ratios-P1	step-1	2024-03-04 09:14:05	incorrect	ratios	3	ratios-a	2
Stu_04	Percents-P3	step-2	2024-03-04 09:17:49	correct	percents	3	percents-c	1
Stu_04	Decimals-P2	step-2	2024-03-04 09:19:27	incorrect	decimals	1	decimals-a	1
Stu_04	Decimals-P5	step-1	2024-03-04 09:24:05	incorrect	decimals	2	decimals-c	1
Stu_04	Decimals-P5	step-2	2024-03-04 09:24:42	correct	decimals	3	decimals-a	2
Stu_04	Fractions-P3	step-1	2024-03-04 09:28:37	incorrect	fractions	2	fractions-b	2
Stu_04	Percents-P3	step-1	2024-03-04 09:30:38	correct	percents	4	percents-b	2
Stu_04	Decimals-P1	step-1	2024-03-04 09:34:20	incorrect	decimals	4	decimals-a	3
Stu_04	Decimals-P3	step-1	2024-03-04 09:35:59	incorrect	decimals	5	decimals-b	1
Stu_04	Decimals-P4	step-2	2024-03-04 09:37:02	correct	decimals	6	decimals-b	2
Stu_04	Fractions-P4	step-2	2024-03-04 09:38:00	incorrect	fractions	3	fractions-b	3
Stu_04	Ratios-P4	step-1	2024-03-04 09:39:01	correct	ratios	4	ratios-a	3
Stu_04	Fractions-P2	step-2	2024-03-04 09:43:47	correct	fractions	4	fractions-a	1
Stu_04	Decimals-P1	step-2	2024-03-04 09:46:17	incorrect	decimals	7	decimals-b	3
Stu_04	Percents-P1	step-2	2024-03-04 09:48:49	correct	percents	5	percents-b	3
Stu_04	Fractions-P4	step-1	2024-03-04 09:53:25	correct	fractions	5	fractions-a	2
Stu_04	Ratios-P2	step-2	2024-03-04 09:54:34	incorrect	ratios	5	ratios-a	4
Stu_04	Fractions-P5	step-2	2024-03-04 09:55:22	correct	fractions	6	fractions-a	3
Stu_04	Decimals-P2	step-1	2024-03-04 09:56:21	correct	decimals	8	decimals-c	2
Stu_04	Ratios-P2	step-1	2024-03-04 09:58:15	correct	ratios	6	ratios-c	1
Stu_04	Percents-P1	step-1	2024-03-04 09:59:51	incorrect	percents	6	percents-a	2
Stu_04	Ratios-P5	step-1	2024-03-04 10:02:23	correct	ratios	7	ratios-c	2
Stu_04	Fractions-P1	step-1	2024-03-04 10:04:11	incorrect	fractions	7	fractions-a	4
Stu_04	Decimals-P3	step-2	2024-03-04 10:08:40	incorrect	decimals	9	decimals-c	3
Stu_04	Ratios-P1	step-2	2024-03-04 10:09:26	correct	ratios	8	ratios-b	2
Stu_04	Percents-P2	step-2	2024-03-04 10:11:42	correct	percents	7	percents-a	3
Stu_04	Percents-P2	step-1	2024-03-04 10:14:06	correct	percents	8	percents-c	2
Stu_04	Fractions-P2	step-1	2024-03-04 10:14:44	correct	fractions	8	fractions-c	1
Stu_04	Fractions-P3	step-2	2024-03-04 10:15:59	correct	fractions	9	fractions-c	2
Stu_04	Ratios-P3	step-1	2024-03-04 10:17:16	incorrect	ratios	9	ratios-b	3
Stu_04	Percents-P5	step-1	2024-03-04 10:22:00	correct	percents	9	percents-c	3
Stu_04	Percents-P4	step-1	2024-03-04 10:23:19	incorrect	percents	10	percents-a	4
Stu_04	Ratios-P3	step-2	2024-03-04 10:24:59	correct	ratios	10	ratios-c	3
Stu_04	Fractions-P5	step-1	2024-03-04 10:27:51	correct	fractions	10	fractions-c	3
Stu_04	Decimals-P4	step-1	2024-03-04 10:31:31	correct	decimals	10	decimals-a	4
Stu_05	Ratios-P3	step-1	2024-03-05 09:03:33	incorrect	ratios	1	ratios-b	1
Stu_05	Percents-P3	step-1	2024-03-05 09:05:31	correct	percents	1	percents-b	1
Stu_05	Fractions-P2	step-1	2024-03-05 09:06:46	incorrect	fractions	1	fractions-c	1
Stu_05	Ratios-P4	step-1	2024-03-05 09:09:02	correct	ratios	2	ratios-a	1
Stu_05	Ratios-P5	step-2	2024-03-05 09:13:40	incorrect	ratios	3	ratios-a	2
Stu_05	Ratios-P1	step-2	2024-03-05 09:17:57	correct	ratios	4	ratios-b	2
Stu_05	Fractions-P4	step-1	2024-03-05 09:22:39	correct	fractions	2	fractions-a	1
Stu_05	Ratios-P5	step-1	2024-03-05 09:24:24	correct	ratios	5	ratios-c	1
Stu_05	Decimals-P2	step-1	2024-03-05 09:25:18	incorrect	decimals	1	decimals-c	1
Stu_05	Fractions-P5	step-1	2024-03-05 09:27:46	correct	fractions	3	fractions-c	2
Stu_05	Ratios-P3	step-2	2024-03-05 09:31:52	correct	ratios	6	ratios-c	2
Stu_05	Decimals-P1	step-1	2024-03-05 09:34:26	incorrect	decimals	2	decimals-a	1
Stu_05	Percents-P3	step-2	2024-03-05 09:38:05	incorrect	percents	2	percents-c	1
Stu_05	Decimals-P2	step-2	2024-03-05 09:39:33	incorrect	decimals	3	decimals-a	2
Stu_05	Percents-P1	step-1	2024-03-05 09:42:00	correct	percents	3	percents-a	1
Stu_05	Fractions-P1	step-1	2024-03-05 09:43:33	incorrect	fractions	4	fractions-a	2
Stu_05	Ratios-P2	step-2	2024-03-05 09:47:48	correct	ratios	7	ratios-a	3
Stu_05	Decimals-P4	step-2	2024-03-05 09:50:10	incorrect	decimals	4	decimals-b	1
Stu_05	Ratios-P1	step-1	2024-03-05 09:51:36	correct	ratios	8	ratios-a	4
Stu_05	Percents-P1	step-2	2024-03-05 09:52:41	incorrect	percents	4	percents-b	2
Stu_05	Percents-P2	step-2	2024-03-05 09:53:28	incorrect	percents	5	percents-a	2
Stu_05	Percents-P4	step-1	2024-03-05 09:56:54	correct	percents	6	percents-a	3
Stu_05	Decimals-P5	step-1	2024-03-05 10:01:42	correct	decimals	5	decimals-c	2
Stu_05	Percents-P4	step-2	2024-03-05 10:02:26	correct	percents	7	percents-b	3
Stu_05	Percents-P5	step-1	2024-03-05 10:06:10	correct	percents	8	percents-c	2
Stu_05	Fractions-P2	step-2	2024-03-05 10:10:58	incorrect	fractions	5	fractions-a	3
Stu_05	Percents-P2	step-1	2024-03-05 10:11:50	correct	percents	9	percents-c	3
Stu_05	Fractions-P3	step-1	2024-03-05 10:12:29	correct	fractions	6	fractions-b	1
Stu_05	Decimals-P5	step-2	2024-03-05 10:17:10	correct	decimals	6	decimals-a	3
Stu_05	Decimals-P1	step-2	2024-03-05 10:18:12	correct	decimals	7	decimals-b	2
Stu_05	Percents-P5	step-2	2024-03-05 10:21:32	correct	percents	10	percents-a	4
Stu_05	Fractions-P4	step-2	2024-03-05 10:25:35	correct	fractions	7	fractions-b	2
Stu_05	Ratios-P4	step-2	2024-03-05 10:28:45	correct	ratios	9	ratios-b	3
Stu_05	Decimals-P3	step-2	2024-03-05 10:30:31	correct	decimals	8	decimals-c	3
Stu_05	Fractions-P1	step-2	2024-03-05 10:34:58	correct	fractions	8	fractions-b	3
Stu_05	Decimals-P3	step-1	2024-03-05 10:39:13	correct	decimals	9	decimals-b	3
Stu_05	Fractions-P5	step-2	2024-03-05 10:43:05	correct	fractions	9	fractions-a	4
Stu_05	Fractions-P3	step-2	2024-03-05 10:45:29	correct	fractions	10	fractions-c	3
Stu_05	Ratios-P2	step-1	2024-03-05 10:49:36	correct	ratios	10	ratios-c	3
Stu_05	Decimals-P4	step-1	2024-03-05 10:50:16	correct	decimals	10	decimals-a	4
Stu_06	Fractions-P2	step-2	2024-03-06 09:03:03	incorrect	fractions	1	fractions-a	1
Stu_06	Decimals-P2	step-1	2024-03-06 09:08:02	incorrect	decimals	1	decimals-c	1
Stu_06	Percents-P3	step-2	2024-03-06 09:12:42	incorrect	percents	1	percents-c	1
Stu_06	Fractions-P5	step-2	2024-03-06 09:14:52	incorrect	fractions	2	fractions-a	2
Stu_06	Percents-P2	step-1	2024-03-06 09:16:37	incorrect	percents	2	percents-c	2
Stu_06	Decimals-P5	step-2	2024-03-06 09:21:07	incorrect	decimals	2	decimals-a	1
Stu_06	Decimals-P4	step-2	2024-03-06 09:23:02	correct	decimals	3	decimals-b	1
Stu_06	Ratios-P5	step-2	2024-03-06 09:27:30	incorrect	ratios	1	ratios-a	1
Stu_06	Ratios-P4	step-1	2024-03-06 09:28:35	incorrect	ratios	2	ratios-a	2
Stu_06	Fractions-P5	step-1	2024-03-06 09:29:24	incorrect	fractions	3	fractions-c	1
Stu_06	Decimals-P1	step-2	2024-03-06 09:32:19	correct	decimals	4	decimals-b	2
Stu_06	Ratios-P1	step-2	2024-03-06 09:35:02	correct	ratios	3	ratios-b	1
Stu_06	Ratios-P5	step-1	2024-03-06 09:36:47	incorrect	ratios	4	ratios-c	1
Stu_06	Percents-P1	step-2	2024-03-06 09:41:00	incorrect	percents	3	percents-b	1
Stu_06	Fractions-P3	step-1	2024-03-06 09:45:08	correct	fractions	4	fractions-b	1
Stu_06	Ratios-P3	step-2	2024-03-06 09:49:05	incorrect	ratios	5	ratios-c	2
Stu_06	Decimals-P2	step-2	2024-03-06 09:52:33	correct	decimals	5	decimals-a	2
Stu_06	Percents-P2	step-2	2024-03-06 09:55:30	correct	percents	4	percents-a	1
Stu_06	Ratios-P4	step-2	2024-03-06 09:58:19	correct	ratios	6	ratios-b	2
Stu_06	Decimals-P1	step-1	2024-03-06 10:01:59	incorrect	decimals	6	decimals-a	3
Stu_06	Percents-P4	step-2	2024-03-06 10:03:17	correct	percents	5	percents-b	2
Stu_06	Fractions-P1	step-1	2024-03-06 10:07:04	incorrect	fractions	5	fractions-a	3
Stu_06	Decimals-P3	step-1	2024-03-06 10:08:40	correct	decimals	7	decimals-b	3
Stu_06	Percents-P3	step-1	2024-03-06 10:09:26	incorrect	percents	6	percents-b	3
Stu_06	Ratios-P1	step-1	2024-03-06 10:11:33	correct	ratios	7	ratios-a	3
Stu_06	Percents-P5	step-2	2024-03-06 10:14:56	correct	percents	7	percents-a	2
Stu_06	Fractions-P2	step-1	2024-03-06 10:19:26	correct	fractions	6	fractions-c	2
Stu_06	Fractions-P4	step-2	2024-03-06 10:21:05	correct	fractions	7	fractions-b	2
Stu_06	Fractions-P3	step-2	2024-03-06 10:25:33	correct	fractions	8	fractions-c	3
Stu_06	Percents-P5	step-1	2024-03-06 10:28:53	correct	percents	8	percents-c	3
Stu_06	Fractions-P4	step-1	2024-03-06 10:30:56	incorrect	fractions	9	fractions-a	4
Stu_06	Decimals-P3	step-2	2024-03-06 10:32:44	correct	decimals	8	decimals-c	2
Stu_06	Decimals-P4	step-1	2024-03-06 10:35:01	correct	decimals	9	decimals-a	4
Stu_06	Fractions-P1	step-2	2024-03-06 10:35:49	correct	fractions	10	fractions-b	3
Stu_06	Ratios-P2	step-2	2024-03-06 10:38:02	incorrect	ratios	8	ratios-a	4
Stu_06	Decimals-P5	step-1	2024-03-06 10:41:43	correct	decimals	10	decimals-c	3
Stu_06	Percents-P4	step-1	2024-03-06 10:42:25	correct	percents	9	percents-a	3
Stu_06	Ratios-P2	step-1	2024-03-06 10:44:21	incorrect	ratios	9	ratios-c	3
Stu_06	Ratios-P3	step-1	2024-03-06 10:48:18	correct	ratios	10	ratios-b	3
Stu_06	Percents-P1	step-1	2024-03-06 10:52:57	incorrect	percents	10	percents-a	4
Stu_07	Fractions-P2	step-2	2024-03-07 09:04:12	correct	fractions	1	fractions-a	1
Stu_07	Percents-P2	step-2	2024-03-07 09:06:34	incorrect	percents	1	percents-a	1
Stu_07	Decimals-P1	step-1	2024-03-07 09:09:48	correct	decimals	1	decimals-a	1
Stu_07	Ratios-P3	step-2	2024-03-07 09:14:27	incorrect	ratios	1	ratios-c	1
Stu_07	Fractions-P4	step-2	2024-03-07 09:16:26	incorrect	fractions	2	fractions-b	1
Stu_07	Fractions-P3	step-2	2024-03-07 09:17:09	correct	fractions	3	fractions-c	1
Stu_07	Fractions-P3	step-1	2024-03-07 09:19:15	correct	fractions	4	fractions-b	2
Stu_07	Ratios-P5	step-1	2024-03-07 09:23:13	correct	ratios	2	ratios-c	2
Stu_07	Ratios-P1	step-2	2024-03-07 09:23:55	incorrect	ratios	3	ratios-b	1
Stu_07	Ratios-P3	step-1	2024-03-07 09:28:24	correct	ratios	4	ratios-b	2
Stu_07	Percents-P3	step-2	2024-03-07 09:30:23	correct	percents	2	percents-c	1
Stu_07	Fractions-P1	step-2	2024-03-07 09:31:01	incorrect	fractions	5	fractions-b	3
Stu_07	Percents-P2	step-1	2024-03-07 09:35:44	incorrect	percents	3	percents-c	2
Stu_07	Percents-P1	step-2	2024-03-07 09:40:41	incorrect	percents	4	percents-b	1
Stu_07	Fractions-P4	step-1	2024-03-07 09:44:44	correct	fractions	6	fractions-a	2
Stu_07	Percents-P3	step-1	2024-03-07 09:48:17	correct	percents	5	percents-b	2
Stu_07	Decimals-P5	step-1	2024-03-07 09:52:48	incorrect	decimals	2	decimals-c	1
Stu_07	Fractions-P2	step-1	2024-03-07 09:56:02	correct	fractions	7	fractions-c	2
Stu_07	Ratios-P4	step-1	2024-03-07 09:57:43	correct	ratios	5	ratios-a	1
Stu_07	Decimals-P1	step-2	2024-03-07 09:58:18	incorrect	decimals	3	decimals-b	1
Stu_07	Decimals-P2	step-2	2024-03-07 10:01:29	incorrect	decimals	4	decimals-a	2
Stu_07	Decimals-P3	step-2	2024-03-07 10:03:52	incorrect	decimals	5	decimals-c	2
Stu_07	Percents-P4	step-1	2024-03-07 10:04:46	incorrect	percents	6	percents-a	2
Stu_07	Fractions-P5	step-2	2024-03-07 10:06:46	correct	fractions	8	fractions-a	3
Stu_07	Ratios-P2	step-1	2024-03-07 10:09:45	correct	ratios	6	ratios-c	3
Stu_07	Ratios-P5	step-2	2024-03-07 10:11:04	correct	ratios	7	ratios-a	2
Stu_07	Percents-P1	step-1	2024-03-07 10:14:04	correct	percents	7	percents-a	3
Stu_07	Percents-P4	step-2	2024-03-07 10:18:44	correct	percents	8	percents-b	3
Stu_07	Ratios-P4	step-2	2024-03-07 10:22:29	incorrect	ratios	8	ratios-b	3
Stu_07	Decimals-P4	step-1	2024-03-07 10:26:02	incorrect	decimals	6	decimals-a	3
Stu_07	Fractions-P1	step-1	2024-03-07 10:28:08	correct	fractions	9	fractions-a	4
Stu_07	Fractions-P5	step-1	2024-03-07 10:28:38	correct	fractions	10	fractions-c	3
Stu_07	Percents-P5	step-1	2024-03-07 10:29:28	correct	percents	9	percents-c	3
Stu_07	Decimals-P5	step-2	2024-03-07 10:30:36	incorrect	decimals	7	decimals-a	4
Stu_07	Ratios-P1	step-1	2024-03-07 10:34:40	correct	ratios	9	ratios-a	3
Stu_07	Decimals-P3	step-1	2024-03-07 10:36:07	correct	decimals	8	decimals-b	2
Stu_07	Percents-P5	step-2	2024-03-07 10:40:00	incorrect	percents	10	percents-a	4
Stu_07	Ratios-P2	step-2	2024-03-07 10:41:42	correct	ratios	10	ratios-a	4
Stu_07	Decimals-P4	step-2	2024-03-07 10:43:36	correct	decimals	9	decimals-b	3
Stu_07	Decimals-P2	step-1	2024-03-07 10:47:46	correct	decimals	10	decimals-c	3
Stu_08	Percents-P3	step-1	2024-03-01 09:03:12	correct	percents	1	percents-b	1
Stu_08	Percents-P4	step-2	2024-03-01 09:05:04	correct	percents	2	percents-b	2
Stu_08	Fractions-P2	step-1	2024-03-01 09:08:17	correct	fractions	1	fractions-c	1
Stu_08	Ratios-P3	step-2	2024-03-01 09:10:00	correct	ratios	1	ratios-c	1
Stu_08	Fractions-P3	step-2	2024-03-01 09:14:05	correct	fractions	2	fractions-c	2
Stu_08	Percents-P3	step-2	2024-03-01 09:16:40	correct	percents	3	percents-c	1
Stu_08	Fractions-P1	step-2	2024-03-01 09:21:10	correct	fractions	3	fractions-b	1
Stu_08	Fractions-P4	step-1	2024-03-01 09:25:49	correct	fractions	4	fractions-a	1
